group_set,group_value,season_year,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,team_name
Overall,2024-25,2024-25,38,19,19,0.5,1834.0,1626,3498,0.465,496,1400,0.354,707,901,0.785,456,1259,1715,1137,609.0,391,203,211,702,761,4455,-99.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Atlanta Hawks
Overall,2024-25,2024-25,37,27,10,0.73,1791.0,1548,3358,0.461,674,1841,0.366,615,776,0.793,406,1257,1663,945,440.0,285,208,152,596,697,4385,379.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Boston Celtics
Overall,2024-25,2024-25,37,33,4,0.892,1776.0,1673,3314,0.505,604,1493,0.405,598,772,0.775,363,1252,1615,1087,481.0,324,171,168,674,694,4548,427.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Cleveland Cavaliers
Overall,2024-25,2024-25,38,7,31,0.184,1829.0,1507,3422,0.44,442,1314,0.336,611,797,0.767,476,1145,1621,938,569.0,364,206,212,698,672,4067,-385.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,New Orleans Pelicans
Overall,2024-25,2024-25,37,17,20,0.459,1781.0,1598,3411,0.468,602,1617,0.372,554,696,0.796,345,1321,1666,1084,560.0,280,173,186,675,612,4352,-132.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Chicago Bulls
Overall,2024-25,2024-25,38,22,16,0.579,1829.0,1613,3359,0.48,507,1352,0.375,692,892,0.776,426,1290,1716,954,545.0,308,224,165,725,723,4425,175.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Dallas Mavericks
Overall,2024-25,2024-25,36,21,15,0.583,1748.0,1623,3256,0.498,431,1127,0.382,661,868,0.762,392,1234,1626,1130,508.0,313,169,203,653,718,4338,131.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Denver Nuggets
Overall,2024-25,2024-25,37,19,18,0.514,1781.0,1523,3393,0.449,560,1534,0.365,526,741,0.71,471,1252,1723,1063,536.0,329,202,225,714,652,4132,29.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Golden State Warriors
Overall,2024-25,2024-25,37,25,12,0.676,1791.0,1542,3474,0.444,442,1342,0.329,658,864,0.762,535,1270,1805,813,495.0,322,194,224,733,746,4184,223.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Houston Rockets
Overall,2024-25,2024-25,37,20,17,0.541,1781.0,1471,3173,0.464,462,1272,0.363,626,803,0.78,397,1233,1630,895,610.0,359,166,181,693,663,4030,19.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Los Angeles Clippers
